 #--- Initial_population -----------------------------
     Omega        hs        n         ec0       alpha     beta      rat_ed    rat_ei
     38.71      5.40      0.31      0.91      0.26      1.05      1.29      0.54
     39.77      3.05      0.21      0.73      0.08      1.51      1.25      0.56
     38.99      8.75      0.20      0.83      0.26      1.29      1.24      0.54
     28.40      7.59      0.35      0.91      0.19      1.50      1.11      0.58
     25.83      6.14      0.33      0.86      0.24      1.60      1.13      0.53
     35.42      7.08      0.20      0.98      0.29      1.88      1.16      0.58
     27.86      5.40      0.30      1.09      0.11      1.50      1.18      0.57
     34.50      3.22      0.33      0.68      0.14      1.19      1.13      0.59
     30.14      3.92      0.31      0.63      0.24      1.99      1.10      0.54
     29.28      1.09      0.32      1.02      0.14      1.67      1.24      0.53
     37.20      6.27      0.32      0.75      0.06      1.61      1.20      0.57
     28.79      6.72      0.24      0.96      0.08      1.96      1.24      0.58
     36.09      3.36      0.20      0.98      0.07      1.90      1.10      0.55
     31.08      7.69      0.32      0.85      0.12      1.93      1.12      0.53
     39.02      7.76      0.32      0.69      0.20      1.56      1.05      0.59
     33.11      6.16      0.27      0.62      0.17      1.84      1.25      0.58
     35.96      1.46      0.20      1.02      0.29      1.58      1.09      0.56
     32.02      6.10      0.21      0.85      0.10      1.40      1.09      0.57
     32.24      1.33      0.24      0.95      0.12      1.81      1.28      0.57
     38.81      4.31      0.22      0.80      0.29      1.70      1.29      0.58
     34.85      4.49      0.30      0.70      0.08      1.53      1.28      0.56
     34.13      6.09      0.29      0.88      0.22      1.86      1.22      0.57
     28.71      6.88      0.22      1.00      0.12      1.09      1.14      0.54
     27.28      2.59      0.20      0.76      0.29      1.58      1.06      0.58
     39.48      3.36      0.33      0.83      0.06      1.01      1.10      0.59
     39.45      8.79      0.31      0.91      0.29      1.23      1.27      0.58
     38.82      8.07      0.30      0.61      0.11      1.39      1.08      0.57
     35.90      8.96      0.29      0.63      0.28      1.76      1.14      0.57
     29.32      7.20      0.27      0.87      0.16      1.33      1.06      0.56
     34.84      5.83      0.40      0.86      0.16      1.15      1.07      0.53
     25.38      3.08      0.39      1.06      0.20      1.74      1.08      0.54
     34.91      3.39      0.38      0.85      0.16      1.17      1.18      0.54
     38.77      7.47      0.26      1.05      0.21      1.92      1.17      0.55
     27.75      1.20      0.22      0.73      0.27      1.31      1.20      0.55
     32.34      2.30      0.22      0.93      0.12      1.96      1.07      0.59
     32.36      6.78      0.38      1.06      0.21      1.20      1.14      0.60
     37.02      7.47      0.29      0.80      0.15      1.58      1.20      0.60
     28.77      3.88      0.40      1.00      0.06      1.40      1.29      0.59
     37.01      1.65      0.35      0.82      0.25      1.48      1.11      0.59
     30.22      5.13      0.36      0.87      0.18      1.44      1.14      0.59
     29.73      6.18      0.38      0.90      0.16      1.36      1.28      0.56
     38.80      2.01      0.23      0.71      0.09      1.97      1.23      0.59
     25.11      1.75      0.22      0.89      0.06      1.81      1.22      0.57
     39.23      3.17      0.26      0.99      0.27      1.39      1.29      0.59
     35.73      2.30      0.39      0.87      0.15      1.78      1.22      0.59
     38.53      5.59      0.26      0.88      0.28      1.92      1.14      0.59
     26.84      7.45      0.22      0.80      0.14      1.78      1.11      0.56
     38.61      4.89      0.31      0.86      0.28      1.88      1.18      0.55
     28.27      4.93      0.28      0.76      0.11      1.22      1.20      0.59
     38.39      4.97      0.34      0.85      0.23      1.81      1.19      0.55
     30.99      1.48      0.25      0.91      0.18      1.07      1.25      0.54
     25.89      3.95      0.28      0.91      0.10      1.72      1.21      0.56
     33.14      1.66      0.37      0.99      0.11      1.57      1.15      0.56
     32.38      4.50      0.25      0.95      0.26      1.71      1.28      0.58
     34.12      5.71      0.33      0.72      0.24      1.67      1.28      0.54
     35.84      4.90      0.40      0.75      0.10      1.64      1.18      0.56
     34.62      5.42      0.37      0.66      0.14      1.35      1.13      0.55
     34.27      5.02      0.28      0.93      0.07      1.24      1.25      0.58
     28.06      3.34      0.29      1.00      0.22      1.45      1.15      0.54
     28.23      6.64      0.24      0.66      0.22      1.59      1.15      0.56
     25.57      5.72      0.36      0.60      0.26      1.43      1.06      0.57
     29.78      2.42      0.22      1.10      0.15      1.79      1.12      0.56
     26.00      8.77      0.34      0.82      0.05      1.19      1.09      0.56
     29.18      6.32      0.24      0.87      0.14      1.56      1.17      0.57
     34.34      7.63      0.20      0.92      0.26      1.33      1.14      0.58
     36.86      7.44      0.33      0.71      0.13      1.44      1.26      0.54
     33.08      1.86      0.33      0.94      0.22      1.27      1.21      0.60
     29.45      4.70      0.33      0.91      0.05      1.36      1.13      0.55
     26.06      2.56      0.26      0.61      0.30      1.92      1.20      0.59
     35.57      5.83      0.38      1.01      0.26      1.25      1.27      0.57
     37.28      5.10      0.26      0.69      0.19      1.40      1.19      0.57
     30.66      4.94      0.36      0.80      0.11      1.79      1.20      0.54
     30.71      3.88      0.29      0.88      0.12      1.91      1.15      0.53
     33.26      3.81      0.38      0.92      0.07      1.89      1.18      0.58
     33.44      1.90      0.25      0.76      0.23      1.58      1.21      0.54
     29.54      4.71      0.24      0.79      0.25      1.81      1.24      0.55
     26.16      7.10      0.20      0.82      0.21      1.27      1.22      0.56
     30.75      4.67      0.32      0.83      0.20      1.12      1.06      0.57
     27.94      1.44      0.27      1.00      0.15      1.34      1.21      0.53
     38.69      5.51      0.21      0.61      0.05      1.18      1.21      0.60
 -----------------------------------------------------
 #---------Update Pop P_eli-----           1 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -----------------------------------------------------
     33.53      1.01      0.25      1.07      0.19      1.16      1.08      0.57
     34.34      7.63      0.20      0.92      0.26      1.33      1.14      0.58
     35.96      1.46      0.20      1.02      0.29      1.58      1.09      0.56
     33.91      1.09      0.23      0.99      0.22      1.84      1.24      0.57
     35.66      5.14      0.21      0.99      0.27      1.55      1.09      0.54


 #---------Update Pop P_mat-----           1 /          20
     Omega        hs        n         ec0       alpha     beta      rat_ei    rat_ed
 -----------------------------------------------------
     37.57      1.54      0.22      1.08      0.09      1.18      1.12      0.56
     34.10      3.95      0.27      0.97      0.27      1.56      1.10      0.56
     32.03      4.80      0.25      0.72      0.11      1.46      1.22      0.59
     35.94      4.60      0.31      0.99      0.09      1.14      1.18      0.56
     27.61      6.15      0.24      0.93      0.26      1.44      1.16      0.58
     30.36      4.71      0.38      0.89      0.27      1.86      1.19      0.54
     30.53      3.90      0.23      1.01      0.17      1.75      1.18      0.56
     31.16      6.73      0.30      0.93      0.12      1.75      1.08      0.54
     31.53      3.78      0.24      0.92      0.18      1.81      1.23      0.56
     31.87      1.38      0.26      1.08      0.14      1.78      1.14      0.58
     31.37      2.52      0.23      0.92      0.21      1.70      1.17      0.53
     30.32      3.75      0.26      0.86      0.17      1.38      1.25      0.54
     32.13      7.74      0.29      0.82      0.24      1.31      1.13      0.55
     36.68      4.23      0.26      0.85      0.19      1.32      1.20      0.56
     35.66      6.50      0.37      0.87      0.08      1.34      1.06      0.55
     35.69      1.71      0.22      0.95      0.27      1.62      1.14      0.56
     31.48      2.16      0.26      0.86      0.20      1.08      1.20      0.55
     36.01      5.35      0.24      0.98      0.08      1.63      1.11      0.57
     39.04      4.94      0.30      0.82      0.28      1.69      1.18      0.55
     34.55      6.93      0.27      1.07      0.10      1.24      1.22      0.59
     30.77      1.19      0.37      0.91      0.20      1.13      1.08      0.53
     32.98      3.46      0.37      0.98      0.10      1.52      1.09      0.55
     28.78      7.42      0.29      0.88      0.17      1.38      1.08      0.53
     28.91      6.12      0.22      0.92      0.27      1.57      1.21      0.57
     35.25      5.64      0.29      0.90      0.20      1.77      1.16      0.55
     28.30      4.77      0.29      0.94      0.12      1.57      1.17      0.56
     35.87      6.28      0.25      0.95      0.09      1.27      1.20      0.59
     35.17      2.32      0.36      0.85      0.16      1.28      1.25      0.56
     30.77      1.40      0.29      1.00      0.19      1.79      1.08      0.57
     28.28      3.34      0.26      0.96      0.20      1.27      1.20      0.54
     34.32      3.94      0.28      1.04      0.11      1.86      1.16      0.56
     34.74      6.72      0.32      0.93      0.19      1.26      1.07      0.55
     33.57      1.76      0.26      0.99      0.22      1.39      1.17      0.54
     28.53      7.90      0.31      0.98      0.25      1.71      1.10      0.56
     34.77      5.33      0.28      0.92      0.09      1.35      1.20      0.59
     36.89      5.10      0.33      1.01      0.08      1.37      1.16      0.56
     37.67      1.73      0.37      0.88      0.09      1.35      1.21      0.55
